,0
0,Avatar: The Way of Water
1,Supercell
2,Puss in Boots: The Last Wish
3,Attack on Titan
4,Prizefighter: The Life of Jem Belcher
5,Black Panther: Wakanda Forever
6,The Devil Conspiracy
7,Shark Side of the Moon
8,John Wick: Chapter 2
9,M3GAN
10,Sick
11,H.P. Lovecraft's Witch House
12,John Wick: Chapter 3 - Parabellum
13,Black Adam
14,Shotgun Wedding
15,Bandit
16,Fall
17,Lord of the Streets
18,The Whale
19,John Wick
20,A Man Called Otto
21,Roald Dahl's Matilda the Musical
22,Prey for the Devil
23,Thor: Love and Thunder
24,Encanto at the Hollywood Bowl
25,Avatar
26,The Simpsons Meet the Bocellis in Feliz Navidad
27,Sonic the Hedgehog 2
28,Terrifier 2
29,Spider-Man: No Way Home
30,Top Gun: Maverick
31,The Enforcer
32,Scream
33,Guillermo del Toro's Pinocchio
34,Nocebo
35,Jurassic World Dominion
36,Doctor Strange in the Multiverse of Madness
37,Hex
38,Violent Night
39,Devotion
40,The Woman King
41,Medieval
42,R.I.P.D. 2: Rise of the Damned
43,Prey
44,Shazam!
45,There Are No Saints
46,Smile
47,Turning Red
48,Minions: The Rise of Gru
49,Strange World
50,The Boss Baby: Christmas Bonus
51,Project Gemini
52,Uncharted
53,Encanto
54,Jeepers Creepers: Reborn
55,Prancer: A Christmas Tale
56,"Lyle, Lyle, Crocodile"
57,The Batman
58,The Offering
59,Ghosts of the Ozarks
60,Beast
61,Luck
62,Everything Everywhere All at Once
63,Bullet Train
64,Breaking
65,Glass Onion: A Knives Out Mystery
66,On the Count of Three
67,Orgasm Inc: The Story of OneTaste
68,Savage Salvation
69,Sing 2
70,Blade of the 47 Ronin
71,The Price We Pay
72,Venom: Let There Be Carnage
73,The Lair
74,Kids vs. Aliens
75,Babylon
76,Shark Bait
77,Disenchanted
78,Hotel Transylvania: Transformania
79,The Exorcism of God
80,Night at the Museum: Kahmunrah Rises Again
81,Candy Land
82,After Ever Happy
83,DC League of Super-Pets
84,Orphan: First Kill
85,Detective Knight: Rogue
86,Pinball: The Man Who Saved the Game
87,Abandoned
88,Free Guy
89,The Ledge
90,Wolf Hound
91,The Black Phone
92,Avengers: Endgame
93,Zack Snyder's Justice League
94,The Lost City
